ID,First Name,Last Name,Phone,LTV
3.915,Elizabeth,Bailey,829-311-5433,"0,22"
4.443,Alexander,Hernandez,328-624-8238,"0,55"
1.668,Henry,Johnson,467-337-1893,"0,24"
4.725,Isabella,Perez,661-771-5439,"0,36"
7.222,Noah,Perry,490-352-4550,"0,10"
2.068,Ava,Simmons,482-306-4040,"0,22"
4.403,Sophia,Young,880-162-5094,"0,31"
6.157,Madison,Perez,145-149-7975,"0,24"
4.850,Amelia,Morales,295-797-9589,"0,34"
6.727,Mia,Simmons,684-669-2421,"0,27"
5.387,Alexander,Walker,350-663-4887,"0,43"
8.553,Elizabeth,Smith,612-853-5655,"0,37"
7.319,James,Davis,563-572-9207,"0,14"
2.789,Olivia,Moore,487-484-9943,"0,10"
1.925,Charlotte,Hernandez,507-455-1404,"0,18"
3.644,Elizabeth,Russell,482-581-5956,"0,47"
9.360,Gabriel,Foster,916-308-9243,"0,29"
5.721,Amelia,Jones,896-586-5848,"0,38"
7.578,Joseph,Perez,740-728-6142,"0,42"
8.407,James,Clark,205-736-2901,"0,15"
3.081,Abigail,Parker,821-549-2496,"0,52"
1.225,Elijah,Foster,347-748-8821,"0,41"
8.246,Emma,Lewis,687-897-6731,"0,34"
6.741,Sophia,Davis,703-505-3487,"0,16"
3.184,Emma,Miller,422-807-4293,"0,12"
2.496,James,Garcia,652-160-5704,"0,35"
6.995,Aiden,Cox,466-952-7636,"0,30"
5.980,Gabriel,Taylor,295-797-9589,"0,12"
2.399,Benjamin,Thomas,113-514-8383,"0,44"
8.725,Sofia,Perry,487-486-2124,"0,19"
3.827,Victoria,Bailey,202-808-5024,"0,45"
9.061,Samuel,Johnson,691-170-6368,"0,34"
6.737,Oliver,Scott,142-497-5491,"0,18"
3.622,Emma,Scott,621-612-9801,"0,16"
3.104,Madison,Garcia,621-612-9802,"0,41"
8.123,Grace,Sanders,983-135-8335,"0,33"
6.513,Amelia,Taylor,474-143-8412,"0,33"
6.502,Sophia,Taylor,988-551-4762,"0,17"
3.444,Charlotte,Lewis,214-769-6963,"0,39"
7.848,James,Ramirez,529-706-8477,"0,12"
2.348,Sofia,Moore,632-391-4247,"0,21"
4.213,Aiden,Scott,275-672-7567,"0,48"
9.544,Avery,Harris,244-910-1753,"0,92"
1.539,Benjamin,Harris,279-401-9983,"0,18"
3.507,David,Griffin,661-844-2882,"0,35"
7.063,Noah,Moore,974-681-2254,"0,68"
1.432,David,Griffin,845-243-1712,"0,49"
9.808,Madison,Ramirez,328-675-1053,"0,16"
3.104,Amelia,Perez,326-418-8652,"0,73"
1.627,Mia,Wilson,122-868-7883,"0,31"
6.146,Elijah,Harris,104-943-1629,"0,48"
9.694,Madison,Walker,167-884-8438,"0,30"
5.947,Madison,Sanders,460-211-9985,"0,43"
8.693,Liam,Taylor,198-176-1235,"0,15"
2.922,Oliver,Griffin,908-189-1672,"0,69"
1.333,Olivia,Perez,447-371-5299,"0,21"
4.230,Henry,Perry,516-662-1771,"0,14"
2.776,Oliver,Powell,262-868-9099,"0,13"
2.511,Gabriel,Young,651-352-4500,"0,48"
9.518,Lucas,Sanders,691-706-6596,"0,46"
9.207,Matthew,Foster,901-487-8994,"0,23"
4.564,Noah,Powell,400-363-7396,"0,35"
6.956,Isabella,Russell,402-341-4726,"0,48"
9.554,Olivia,Powell,528-196-4282,"0,32"
6.464,Avery,Miller,139-148-5461,"0,43"
8.611,Abigail,Reyes,157-607-8452,"0,36"
7.263,Aiden,Perry,639-846-9763,"0,28"
5.501,Samuel,Brown,790-961-2595,"0,56"
1.472,Victoria,Griffin,692-876-3595,"0,28"
5.638,Aiden,Powell,502-755-5688,"0,38"
7.653,Ava,Brown,147-339-5643,"0,15"
3.026,Amelia,Watson,698-345-1442,"0,90"
1.379,Lucas,Griffin,531-870-7656,"0,45"
9.068,Emily,Moore,233-739-8159,"0,87"
1.131,Mason,Clark,915-976-4535,"0,34"
6.848,James,Smith,703-335-6894,"0,37"
7.440,Amelia,Scott,338-984-7360,"0,46"
9.111,Elizabeth,Foster,480-344-3726,"0,50"
9.970,Avery,Johnson,111-301-8326,"0,32"
6.334,Emma,Jones,111-301-8327,"0,41"
8.137,William,Hall,295-797-9589,"0,21"
4.299,Mia,Powell,907-153-9439,"0,46"
9.285,William,Moore,549-802-3514,"0,10"
1.901,Liam,Perry,519-351-9722,"0,36"
7.155,Liam,Johnson,312-900-7443,"0,47"
9.450,Charlotte,Brown,295-797-9589,"0,33"
6.583,Samuel,Griffin,352-623-1654,"0,26"
5.297,Isabella,Harris,734-972-6706,"0,40"
8.090,William,Martinez,548-491-2793,"0,33"
6.656,Amelia,Griffin,257-623-2970,"0,47"
9.390,Emma,Perez,567-617-8443,"0,18"
3.646,Olivia,Reyes,211-155-3226,"0,23"
4.680,Oliver,Taylor,807-885-2139,"0,35"
6.926,Alexander,Thomas,811-317-2413,"0,19"
3.791,Amelia,Perry,695-317-4911,"0,20"
4.069,Gabriel,Clark,534-333-3683,"0,49"
9.823,Sofia,Foster,125-722-2563,"0,41"
8.224,Isabella,Harris,100-260-7115,"0,14"
2.813,Oliver,Lewis,805-853-8982,"0,23"
4.629,Samuel,Sanders,169-437-3916,"0,47"
9.453,Aiden,Mitchell,565-294-5957,"0,45"
8.907,Lucas,Clark,974-786-5679,"0,31"
6.119,Noah,Simmons,598-978-7094,"0,33"
6.531,Ava,Martinez,853-716-9058,"0,28"
5.670,Noah,Young,956-541-4865,"0,12"
2.312,Mia,Martinez,987-264-5380,"0,24"
4.813,Mia,Scott,795-166-9313,"0,30"
6.057,Mason,Johnson,605-908-2291,"0,22"
4.434,Gabriel,Clark,939-141-1698,"0,44"
8.814,Victoria,Thomas,472-134-1769,"0,10"
2.056,Logan,Hernandez,472-134-1770,"0,46"
9.117,David,Watson,708-325-7052,"0,24"
4.854,Madison,Wallace,488-178-1325,"0,12"
2.407,Logan,Wallace,103-678-2163,"0,45"
8.945,Matthew,Jones,252-826-3158,"0,28"
5.648,Logan,Bailey,965-783-6424,"0,35"
7.085,Gabriel,Walker,544-952-7944,"0,20"
3.987,Olivia,Davis,640-296-3698,"0,45"
8.995,Emily,Scott,602-506-1565,"0,31"
6.218,Olivia,Wilson,569-826-9752,"0,30"
6.060,Elizabeth,Cox,844-888-8377,"0,26"
5.104,Harper,Mitchell,977-344-5311,"0,15"
2.935,David,Bryant,300-102-6085,"0,46"
9.175,Oliver,Perez,666-281-8737,"0,63"
1.060,Alexander,Diaz,702-611-5928,"0,18"
3.674,Alexander,Sanders,702-611-5929,"0,27"
5.302,Benjamin,Perez,429-268-3902,"0,48"
9.645,Alexander,Reyes,582-677-3085,"0,28"
5.622,Isabella,Brown,884-442-2258,"0,17"
3.374,Ava,Griffin,110-131-7460,"0,13"
2.684,Daniel,Foster,437-350-4129,"0,11"
2.142,Henry,Taylor,833-365-5666,"0,41"
8.279,William,Lewis,606-500-6114,"0,48"
1.372,Emma,Powell,463-743-1743,"0,11"
2.169,Sofia,Moore,586-573-4159,"0,09"
1.818,Emily,Simmons,944-803-6317,"0,11"
2.235,Evelyn,Young,367-641-1275,"0,95"
1.313,William,Bailey,445-228-2096,"0,28"
5.520,Elijah,Lewis,194-233-8037,"0,35"
7.019,Joseph,Simmons,499-730-5005,"0,15"
3.044,Amelia,Perez,387-964-5222,"0,32"
6.387,Abigail,Alexander,295-797-9589,"0,50"
9.933,Liam,Hernandez,828-386-9507,"0,16"
3.204,Mia,Garcia,983-487-3813,"0,25"
4.932,Isabella,Martinez,502-978-7737,"0,18"
3.562,Henry,Martinez,674-710-1046,"0,11"
2.108,Samuel,Lewis,367-859-7824,"0,25"
4.973,Gabriel,Alexander,550-974-3460,"0,40"
7.908,Joseph,Morales,904-398-4419,"0,39"
7.755,Ava,Parker,842-445-2611,"0,22"
4.443,David,Wilson,989-584-6713,"0,27"
5.373,Charlotte,Simmons,453-745-8726,"0,24"
4.748,Chloe,Alexander,898-698-4731,"0,40"
8.036,Henry,Clark,308-502-6715,"0,36"
7.277,David,Perez,673-606-9024,"0,33"
6.576,Harper,Moore,720-436-2249,"0,17"
3.427,Benjamin,Ramirez,863-248-2653,"0,19"
3.764,Samuel,Brown,690-845-5439,"0,16"
3.241,Andrew,Hall,493-631-7330,"0,89"
1.202,Avery,Martinez,894-999-3236,"0,28"
5.546,Chloe,Powell,342-568-4905,"0,27"
5.312,Gabriel,Wallace,754-700-4314,"0,27"
5.472,Ava,Simmons,495-468-8106,"0,12"
2.494,David,Brown,717-670-1575,"0,82"
1.426,Michael,Cox,731-653-8135,"0,14"
2.727,Grace,Watson,316-159-1389,"0,42"
8.445,Sophia,Mitchell,829-716-4434,"0,36"
7.294,Elizabeth,Reyes,884-536-5826,"0,45"
9.004,Victoria,Clark,223-164-7074,"0,09"
1.888,Abigail,Scott,295-797-9589,"0,18"
3.635,Ava,Jones,491-156-4077,"0,29"
5.830,Lucas,Wilson,206-329-7506,"0,66"
1.792,Isabella,Harris,116-646-4694,"0,29"
5.730,Madison,Sanders,418-855-8877,"0,22"
4.462,Ava,Alexander,772-735-5156,"0,43"
8.573,Emily,Lewis,899-620-5153,"0,12"
2.403,Noah,Ramirez,352-942-2100,"0,41"
8.268,Elizabeth,Mitchell,935-562-1403,"0,18"
3.698,Joseph,Perez,676-713-8027,"0,18"
3.670,Abigail,Davis,595-711-6564,"0,36"
7.172,Chloe,Ramirez,739-573-5539,"0,31"
6.232,Olivia,Morales,267-656-6323,"0,67"
1.110,Harper,Brown,819-307-8465,"0,46"
9.176,Madison,Wallace,860-542-8364,"0,43"
8.588,Matthew,Parker,579-100-3090,"0,09"
1.892,Lucas,Martinez,790-971-4857,"0,37"
7.437,Mason,Sanders,530-298-5541,"0,21"
4.170,Charlotte,Young,484-520-2909,"0,34"
6.885,Lucas,Cox,494-352-4925,"0,46"
9.117,Alexander,Johnson,821-191-1674,"0,25"
5.069,Victoria,Perry,201-294-5169,"0,23"
4.637,Gabriel,Moore,201-294-5170,"0,14"
2.747,Oliver,Alexander,201-294-5171,"0,18"
3.539,Noah,Miller,265-580-7279,"0,22"
4.469,Madison,Moore,762-917-3614,"0,85"
1.588,Emily,Bryant,213-412-2751,"0,10"
2.049,James,Thomas,943-877-7066,"0,29"
5.899,Grace,Scott,326-379-7109,"0,33"
6.592,Emma,Alexander,492-965-3390,"0,20"
3.919,Isabella,Smith,718-426-8318,"0,84"
1.508,Isabella,Powell,750-443-5553,"0,14"
2.766,Daniel,Moore,786-780-5766,"0,34"
6.805,Daniel,Reyes,607-906-8616,"0,22"
4.377,Lucas,Garcia,161-976-7306,"0,39"
7.822,Isabella,Harris,161-976-7307,"0,43"
8.508,Michael,Cox,652-852-1248,"0,45"
9.041,Harper,Bryant,532-887-3452,"0,44"
8.894,Madison,Harris,871-249-8177,"0,16"
3.187,Chloe,Ramirez,505-175-3559,"0,38"
7.687,Lucas,Young,118-495-1884,"0,22"
4.310,Charlotte,Taylor,295-797-9589,"0,37"
7.435,Samuel,Walker,103-605-4967,"0,22"
4.437,Daniel,Wallace,607-692-8948,"0,35"
7.077,William,Miller,403-786-8908,"0,15"
2.960,Mia,Smith,337-231-6164,"0,40"
8.094,Olivia,Brown,257-173-8854,"0,31"
6.179,Joseph,Morales,904-240-3703,"0,31"
6.199,Olivia,Perez,988-973-2576,"0,28"
5.678,Michael,Griffin,508-666-8594,"0,35"
6.919,Liam,Harris,675-689-5801,"0,28"
5.543,Emma,Hall,566-515-6906,"0,22"
4.452,Daniel,Brown,404-493-6759,"0,34"
6.835,Emily,Taylor,384-871-5619,"0,37"
7.391,Isabella,Bailey,474-968-5565,"0,35"
6.927,Matthew,Moore,244-703-2661,"0,44"
8.870,Matthew,Alexander,209-882-7213,"0,39"
7.727,Mason,Taylor,932-549-4027,"0,37"
7.342,James,Wilson,586-545-7320,"0,28"
5.597,Elizabeth,Davis,645-996-7861,"0,34"
6.731,Abigail,Simmons,876-817-3069,"0,24"
4.719,Aiden,Thomas,157-746-5801,"0,13"
2.625,Andrew,Griffin,832-971-3118,"0,44"
8.717,Benjamin,Morales,535-724-4043,"0,36"
7.116,Logan,Diaz,913-416-9892,"0,49"
9.817,Charlotte,Reyes,295-797-9589,"0,24"
4.778,Amelia,Bailey,382-173-4704,"0,43"
8.657,Lucas,Martinez,395-725-3125,"0,94"
1.243,Emma,Powell,578-743-3579,"0,24"
4.766,James,Brown,295-797-9589,"0,13"
2.655,Evelyn,Moore,295-797-9590,"0,18"
3.595,Michael,Clark,584-219-5699,"0,44"
8.880,Logan,Mitchell,475-584-4304,"0,20"
3.907,Samuel,Hall,756-720-9723,"0,14"
2.853,Gabriel,Hernandez,654-304-8266,"0,36"
7.142,Mia,Garcia,153-104-5108,"0,43"
8.639,Amelia,Watson,991-710-1772,"0,47"
9.481,Emma,Taylor,362-943-1750,"0,09"
1.806,Joseph,Perry,780-120-6492,"0,27"
5.335,Henry,Martinez,177-216-2465,"0,20"
4.073,Oliver,Jones,295-797-9589,"0,41"
8.201,Noah,Parker,817-238-5940,"0,68"
1.734,Liam,Taylor,532-277-8571,"0,34"
6.720,Amelia,Wallace,476-874-3885,"0,21"
4.160,Harper,Diaz,828-269-7462,"0,37"
7.337,James,Wilson,880-732-2948,"0,46"
9.264,Oliver,Russell,524-453-8664,"0,48"
9.639,Liam,Wallace,228-895-9636,"0,48"
9.651,Lucas,Watson,145-248-9858,"0,26"
5.204,Olivia,Garcia,105-315-3119,"0,35"
7.054,Sofia,Foster,577-628-3792,"0,30"
6.092,Abigail,Cox,371-107-2912,"0,23"
4.600,William,Perez,759-534-4271,"0,44"
8.737,Sofia,Perry,893-760-6172,"0,17"
3.418,Sophia,Young,697-857-9023,"0,67"
1.337,Sofia,Hernandez,651-664-3942,"0,39"
7.849,Mason,Hall,550-924-3371,"0,28"
5.549,Benjamin,Simmons,321-461-4553,"0,26"
5.287,Amelia,Sanders,639-190-6713,"0,28"
5.563,Andrew,Young,119-619-7538,"0,14"
2.877,Elizabeth,Griffin,370-681-3089,"0,38"
7.612,Olivia,Moore,272-247-6059,"0,29"
5.770,Michael,Alexander,295-797-9589,"0,44"
8.883,Madison,Russell,318-660-8207,"0,50"
9.972,Olivia,Simmons,318-660-8208,"0,45"
8.917,Sofia,Reyes,339-496-4274,"0,45"
9.077,Alexander,Jones,584-661-1380,"0,20"
4.028,Henry,Alexander,265-287-5248,"0,50"
9.980,Aiden,Walker,221-892-2236,"0,46"
9.293,Evelyn,Davis,441-194-1339,"0,48"
9.609,Harper,Watson,447-894-7241,"0,40"
8.081,Noah,Wallace,447-894-7242,"0,64"
1.560,Elijah,Young,925-765-1817,"0,26"
5.263,Olivia,Jones,840-515-1661,"0,33"
6.523,Charlotte,Perez,132-918-9734,"0,37"
7.317,Abigail,Hernandez,301-445-9155,"0,49"
9.760,Olivia,Mitchell,267-620-7136,"0,28"
5.518,Sophia,Scott,448-527-9200,"0,16"
3.231,Isabella,Ramirez,567-708-9532,"0,25"
4.940,Harper,Diaz,296-515-2652,"0,44"
8.764,Madison,Brown,296-515-2653,"0,93"
1.746,Victoria,Foster,258-961-1671,"0,17"
3.312,Madison,Wallace,921-853-2592,"0,19"
3.720,Daniel,Sanders,297-714-5477,"0,91"
1.796,Lucas,Garcia,917-855-2834,"0,10"
2.003,Sofia,Davis,150-426-6414,"0,29"
5.886,Aiden,Martinez,600-938-3050,"0,15"
3.034,Benjamin,Morales,114-826-8393,"0,16"
3.175,Gabriel,Wilson,295-797-9589,"0,29"
5.760,Benjamin,Moore,290-709-8940,"0,17"
3.308,Emily,Harris,286-650-9140,"0,63"
1.503,Alexander,Wallace,913-861-4249,"0,40"
8.066,Sophia,Mitchell,144-529-5174,"0,27"
5.341,Isabella,Thomas,336-331-2393,"0,34"
6.783,Charlotte,Russell,295-797-9589,"0,36"
7.178,David,Ramirez,295-797-9590,"0,55"
1.009,Victoria,Diaz,489-566-3682,"0,37"
7.483,Michael,Brown,489-566-3683,"0,12"
2.418,Emma,Ramirez,122-423-6814,"0,44"
8.827,Avery,Davis,561-926-6913,"0,25"
4.938,Sophia,Harris,302-368-9414,"0,10"
2.090,Elijah,Bryant,551-588-7815,"0,44"
8.752,Joseph,Simmons,728-855-6282,"0,92"
1.156,Isabella,Sanders,110-736-7849,"0,23"
4.577,Henry,Russell,445-282-8150,"0,91"
1.711,David,Perez,271-497-9284,"0,12"
2.478,William,Martinez,800-528-3434,"0,13"
2.516,Amelia,Diaz,975-796-4220,"0,19"
3.841,James,Jones,113-243-8173,"0,19"
3.883,Michael,Harris,104-458-6898,"0,22"
4.410,Liam,Alexander,104-458-6899,"0,24"
4.832,Ava,Bryant,283-841-1400,"0,21"
4.252,Grace,Jones,486-107-4333,"0,19"
3.840,Benjamin,Lewis,774-581-9884,"0,30"
5.903,Aiden,Simmons,334-484-9739,"0,37"
7.466,Liam,Simmons,555-773-5186,"0,26"
5.110,Alexander,Parker,385-534-9138,"0,21"
4.271,Lucas,Reyes,310-783-7788,"0,31"
6.176,Sophia,Griffin,550-845-5719,"0,16"
3.188,Olivia,Harris,704-670-7928,"0,33"
6.673,Harper,Scott,750-704-7054,"0,29"
5.882,Abigail,Russell,537-578-4145,"0,15"
2.904,Mason,Griffin,537-578-4146,"0,24"
4.733,Michael,Griffin,182-259-9170,"0,11"
2.173,Gabriel,Clark,337-584-3316,"0,28"
5.531,Chloe,Martinez,311-374-6492,"0,29"
5.732,Emma,Simmons,648-561-2338,"0,23"
4.664,Elijah,Bryant,286-318-1515,"0,12"
2.467,William,Perez,817-751-4193,"0,74"
1.755,Joseph,Jones,253-692-9740,"0,63"
1.640,James,Wilson,342-141-6349,"0,13"
2.657,Matthew,Garcia,855-892-3185,"0,44"
8.879,Samuel,Griffin,905-617-2807,"0,58"
1.399,Matthew,Clark,801-269-9275,"0,96"
1.671,Mason,Perry,474-402-9465,"0,20"
3.972,Daniel,Wallace,972-747-1706,"0,63"
1.028,James,Perry,295-797-9589,"0,33"
6.594,Chloe,Sanders,664-663-8432,"0,41"
8.242,Amelia,Diaz,916-866-6162,"0,24"
4.883,Abigail,Thomas,217-597-7511,"0,40"
8.086,Sophia,Morales,377-458-4048,"0,12"
2.351,Abigail,Hernandez,273-377-4503,"0,41"
8.144,Olivia,Garcia,285-551-6760,"0,10"
1.931,Noah,Miller,820-796-3952,"0,29"
5.772,Harper,Lewis,261-918-9504,"0,27"
5.329,Samuel,Griffin,115-290-1853,"0,24"
4.846,Elijah,Thomas,750-295-5936,"0,96"
1.668,Oliver,Miller,395-868-3329,"0,35"
7.052,Sofia,Perez,891-848-9363,"0,17"
3.382,Liam,Garcia,391-303-6241,"0,09"
1.804,Liam,Hall,271-263-2907,"0,32"
6.312,David,Smith,282-668-4719,"0,24"
4.768,Liam,Russell,682-420-9907,"0,41"
8.122,Logan,Martinez,683-120-9054,"0,23"
4.633,Oliver,Parker,903-627-2197,"0,77"
1.174,Avery,Harris,616-146-5026,"0,46"
9.149,David,Garcia,321-657-2310,"0,36"
7.102,Emma,Scott,788-289-3813,"0,28"
5.512,Ava,Hernandez,599-411-3324,"0,11"
2.148,Samuel,Foster,762-523-7886,"0,19"
3.876,Henry,Russell,842-513-9579,"0,28"
5.511,Noah,Cox,430-805-2176,"0,45"
8.915,Charlotte,Brown,523-378-4081,"0,14"
2.813,James,Scott,993-401-8057,"0,24"
4.788,Liam,Davis,880-161-9543,"0,40"
7.934,Charlotte,Walker,295-797-9589,"0,21"
4.139,Noah,Simmons,239-218-2771,"0,27"
5.457,Samuel,Taylor,596-430-9511,"0,41"
8.112,Elijah,Scott,178-133-3223,"0,12"
2.454,Sofia,Moore,676-793-4138,"0,22"
4.428,Emily,Wallace,566-358-3928,"0,20"
3.958,Andrew,Miller,558-724-7103,"0,13"
2.592,Benjamin,Harris,317-626-4125,"0,33"
6.563,Andrew,Davis,720-814-3408,"0,20"
4.078,Matthew,Moore,657-771-2281,"0,24"
4.712,Alexander,Brown,241-735-7738,"0,41"
8.157,Harper,Clark,473-849-7303,"0,49"
9.858,Gabriel,Foster,198-918-7840,"0,37"
7.334,Mason,Foster,881-904-7796,"0,96"
1.775,Abigail,Martinez,425-780-4009,"0,44"
8.793,Matthew,Ramirez,501-430-3549,"0,46"
9.177,Alexander,Reyes,710-105-4063,"0,28"
5.610,Chloe,Griffin,358-865-3790,"0,41"
8.246,Logan,Diaz,536-333-3325,"0,35"
7.080,Harper,Sanders,295-797-9589,"0,11"
2.185,Matthew,Sanders,204-719-6139,"0,20"
4.078,Alexander,Hall,516-842-5565,"0,39"
7.700,William,Powell,260-537-1747,"0,55"
1.635,Grace,Jones,646-572-4781,"0,42"
8.459,James,Harris,701-621-2123,"0,51"
1.561,Avery,Sanders,988-473-6845,"0,49"
9.799,James,Scott,408-669-2566,"0,50"
9.997,Logan,Harris,400-415-3706,"0,28"
5.547,Gabriel,Taylor,400-415-3707,"0,68"
1.256,Charlotte,Walker,663-430-2989,"0,23"
4.639,Noah,Perez,993-835-8384,"0,73"
1.542,Charlotte,Scott,302-858-8020,"0,23"
4.618,Aiden,Young,254-556-9636,"0,15"
3.010,David,Cox,826-940-3151,"0,72"
1.538,Samuel,Wallace,397-892-9578,"0,11"
2.188,Chloe,Bailey,354-911-3304,"0,58"
1.386,William,Lewis,865-593-8392,"0,30"
5.962,Sofia,Garcia,200-285-8597,"0,31"
6.177,Sophia,Parker,378-874-4231,"0,28"
5.524,Abigail,Bailey,706-604-8880,"0,46"
9.149,Elizabeth,Wallace,435-486-5974,"0,10"
1.901,Madison,Wilson,382-775-6647,"0,23"
4.586,Benjamin,Ramirez,275-855-9172,"0,17"
3.376,Samuel,Simmons,694-845-3267,"0,45"
